,totals
511,2235897
512,5961708
513,394761965
514,4428194678
515,4822956643
516,1344941817
517,5720239179
518,7065180996
519,202863608
520,907573553
521,1110437161
522,92915692
523,303510729
524,396426421
525,967397937
526,53
527,2235897
528,5961708
529,394761965
530,4428194678
531,4822956643
532,1344941817
533,5720239179
534,7065180996
535,202863608
536,907573553
537,1110437161
538,92915692
539,303510729
540,396426421
541,967397937
542,53
543,2235897
544,5961708
545,394761965
546,4428194678
547,4822956643
548,1344941817
549,5720239179
550,7065180996
551,202863608
552,907573553
553,1110437161
554,92915692
555,303510729
556,396426421
557,967397937
558,53
559,2235897
560,5961708
561,394761965
562,4428194678
563,4822956643
564,1344941817
565,5720239179
566,7065180996
567,202863608
568,907573553
569,1110437161
570,92915692
571,303510729
572,396426421
573,967397937
574,53
575,2235897
576,5961708
577,394761965
578,4428194678
579,4822956643
580,1344941817
581,5720239179
582,7065180996
583,202863608
584,907573553
585,1110437161
586,92915692
587,303510729
588,396426421
589,967397937
590,53
591,2235897
592,5961708
593,394761965
594,4428194678
595,4822956643
596,1344941817
597,5720239179
598,7065180996
599,202863608
600,907573553
601,1110437161
602,92915692
603,303510729
604,396426421
605,967397937
606,53
607,2235897
608,5961708
609,394761965
610,4428194678
611,4822956643
612,1344941817
613,5720239179
614,7065180996
615,202863608
616,907573553
617,1110437161
618,92915692
619,303510729
620,396426421
621,967397937
622,53
623,2235897
624,5961708
625,394761965
626,4428194678
627,4822956643
628,1344941817
629,5720239179
630,7065180996
631,202863608
632,907573553
633,1110437161
634,92915692
635,303510729
636,396426421
637,967397937
638,53
639,2235897
640,5961708
641,394761965
642,4428194678
643,4822956643
644,1344941817
645,5720239179
646,7065180996
647,202863608
648,907573553
649,1110437161
650,92915692
651,303510729
652,396426421
653,967397937
654,53
655,2235897
656,5961708
657,394761965
658,4428194678
659,4822956643
660,1344941817
661,5720239179
662,7065180996
663,202863608
664,907573553
665,1110437161
666,92915692
667,303510729
668,396426421
669,967397937
670,53
671,2235897
672,5961708
673,394761965
674,4428194678
675,4822956643
676,1344941817
677,5720239179
678,7065180996
679,202863608
680,907573553
681,1110437161
682,92915692
683,303510729
684,396426421
685,967397937
686,53
687,2235897
688,5961708
689,394761965
690,4428194678
691,4822956643
692,1344941817
693,5720239179
694,7065180996
695,202863608
696,907573553
697,1110437161
698,92915692
699,303510729
700,396426421
701,967397937
702,53
703,2235897
704,5961708
705,394761965
706,4428194678
707,4822956643
708,1344941817
709,5720239179
710,7065180996
711,202863608
712,907573553
713,1110437161
714,92915692
715,303510729
716,396426421
717,967397937
718,53
719,2235897
720,5961708
721,394761965
722,4428194678
723,4822956643
724,1344941817
725,5720239179
726,7065180996
727,202863608
728,907573553
729,1110437161
730,92915692
731,303510729
732,396426421
733,967397937
734,53
735,2235897
736,5961708
737,394761965
738,4428194678
739,4822956643
740,1344941817
741,5720239179
742,7065180996
743,202863608
744,907573553
745,1110437161
746,92915692
747,303510729
748,396426421
749,967397937
750,53
751,2235897
752,5961708
753,394761965
754,4428194678
755,4822956643
756,1344941817
757,5720239179
758,7065180996
759,202863608
760,907573553
761,1110437161
762,92915692
763,303510729
764,396426421
765,967397937
766,53
767,2235897
768,5961708
769,394761965
770,4428194678
771,4822956643
772,1344941817
773,5720239179
774,7065180996
775,202863608
776,907573553
777,1110437161
778,92915692
779,303510729
780,396426421
781,967397937
782,53
783,2235897
784,5961708
785,394761965
786,4428194678
787,4822956643
788,1344941817
789,5720239179
790,7065180996
791,202863608
792,907573553
793,1110437161
794,92915692
795,303510729
796,396426421
797,967397937
798,53
799,2235897
800,5961708
801,394761965
802,4428194678
803,4822956643
804,1344941817
805,5720239179
806,7065180996
807,202863608
808,907573553
809,1110437161
810,92915692
811,303510729
812,396426421
813,967397937
814,53
815,2235897
816,5961708
817,394761965
818,4428194678
819,4822956643
820,1344941817
821,5720239179
822,7065180996
823,202863608
824,907573553
825,1110437161
826,92915692
827,303510729
828,396426421
829,967397937
830,53
831,2235897
832,5961708
833,394761965
834,4428194678
835,4822956643
836,1344941817
837,5720239179
838,7065180996
839,202863608
840,907573553
841,1110437161
842,92915692
843,303510729
844,396426421
845,967397937
846,53
847,2235897
848,5961708
849,394761965
850,4428194678
851,4822956643
852,1344941817
853,5720239179
854,7065180996
855,202863608
856,907573553
857,1110437161
858,92915692
859,303510729
860,396426421
861,967397937
862,53
863,2235897
864,5961708
865,394761965
866,4428194678
867,4822956643
868,1344941817
869,5720239179
870,7065180996
871,202863608
872,907573553
873,1110437161
874,92915692
875,303510729
876,396426421
877,967397937
878,53
879,2235897
880,5961708
881,394761965
882,4428194678
883,4822956643
884,1344941817
885,5720239179
886,7065180996
887,202863608
888,907573553
889,1110437161
890,92915692
891,303510729
892,396426421
893,967397937
894,53
895,2235897
896,5961708
897,394761965
898,4428194678
899,4822956643
900,1344941817
901,5720239179
902,7065180996
903,202863608
904,907573553
905,1110437161
906,92915692
907,303510729
908,396426421
909,967397937
910,53
911,2235897
